Symbol Name,Reference,Footprint,Description,Datasheet,Keywords,FP Filters,Text,Kicad Extends,Derive From,MIN Width,MIN Height,W Padding,H Padding,In BOM,On Board,hide pin numbers,pin name offset,hide pin names,text font size,h r/v gap,w r/v gap,text gap
,PIN Category,PIN Number,PIN Name,PIN EL Type,PIN Gr Type,PIN Length,PIN Stacked,PIN Hidden,name font size,number font size,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Z8001,U,,"16-bit General Purpose Microprocessor segmented, DIP-48",https://archive.org/details/zilog-z-8000-data-manual/page/20/mode/2up,Z8000 CPU uP segmented Z-bus,DIP*W15.24mm*,"Z8000
CPU",,,4,,1.5,,,,,30,,,,,9
,left,34,~{AS},tri_state,line,1.5,,,,,,,,,,,,,,,,
,,19,~{DS},tri_state,,,,,,,,,,,,,,,,,,
,,18,~{MREQ},tri_state,,,,,,,,,,,,,,,,,,
,,30,R/~{W},tri_state,,,,,,,,,,,,,,,,,,
,,31,N/~{S},,,,,,,,,,,,,,,,,,,
,,32,B/~{W},,,,,,,,,,,,,,,,,,,
,,"20,21,22,23",ST$(3-1),,,,,,,,,,,,,,,,,,,
,,28,~{WAIT},input,,,,,,,,,,,,,,,,,,
,,---,,,,,,,,,,,,,,,,,,,,
,,27,~{BUSREQ},input,,,,,,,,,,,,,,,,,,
,,29,~{BUSACK},output,,,,,,,,,,,,,,,,,,
,,---,,,,,,,,,,,,,,,,,,,,
,,16,~{RESET},input,,,,,,,,,,,,,,,,,,
,,15,~{NMI},input,clock,,,,,,,,,,,,,,,,,
,,12,~{VI},input,line,,,,,,,,,,,,,,,,,
,,13,~{NVI},input,,,,,,,,,,,,,,,,,,
,,---,,,,,,,,,,,,,,,,,,,,
,,7,~{STOP},input,,,,,,,,,,,,,,,,,,
,,---,,,,,,,,,,,,,,,,,,,,
,,8,~{MI},input,line,,,,,,,,,,,,,,,,,
,,17,~{MO},output,,,,,,,,,,,,,,,,,,
,,---,,,,,,,,,,,,,,,,,,,,
,,35,CLK,input,clock,,,,,,,,,,,,,,,,,
,right,"9,10,6,5,4,3,2,48,45,44,41,43,40,39,38,1",AD$(15-1),bidirectional,line,,,,,,,,,,,,,,,,,
,,---,,,,,,,,,,,,,,,,,,,,
,,"47,46,42,24,37,25,26",SN$(6-1),tri_state,line,,,,,,,,,,,,,,,,,
,,---,,,,,,,,,,,,,,,,,,,,
,,14,~{SEGT},input,line,,,,,,,,,,,,,,,,,
,top,11,VCC,power_in,line,1,,,,,,,,,,,,,,,,
,bottom,36,GND,power_in,line,1,,,,,,,,,,,,,,,,
,,33,,no_connect,,,,yes,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Z8002,U,,"16-bit General Purpose Microprocessor, DIP-40",https://archive.org/details/zilog-z-8000-data-manual/page/20/mode/2up,Z8000 CPU uP Z-bus,DIP*W15.24mm*,"Z8000
CPU",,,4,,1.5,,,,,30,,,,,9
,left,29,~{AS},tri_state,line,1.5,,,,,,,,,,,,,,,,
,,17,~{DS},tri_state,,,,,,,,,,,,,,,,,,
,,16,~{MREQ},tri_state,,,,,,,,,,,,,,,,,,
,,25,R/~{W},tri_state,,,,,,,,,,,,,,,,,,
,,26,N/~{S},,,,,,,,,,,,,,,,,,,
,,27,B/~{W},,,,,,,,,,,,,,,,,,,
,,"18,19,20,21",ST$(3-1),,,,,,,,,,,,,,,,,,,
,,23,~{WAIT},input,,,,,,,,,,,,,,,,,,
,,---,,,,,,,,,,,,,,,,,,,,
,,14,~{RESET},input,,,,,,,,,,,,,,,,,,
,,13,~{NMI},input,clock,,,,,,,,,,,,,,,,,
,,11,~{VI},input,line,,,,,,,,,,,,,,,,,
,,12,~{NVI},input,,,,,,,,,,,,,,,,,,
,,---,,,,,,,,,,,,,,,,,,,,
,,6,~{STOP},input,,,,,,,,,,,,,,,,,,
,,--- 3,,,,,,,,,,,,,,,,,,,,
,,30,CLK,input,clock,,,,,,,,,,,,,,,,,
,right,"8,9,5,4,3,2,1,39,38,37,35,36,34,33,32,40",AD$(15-1),bidirectional,line,,,,,,,,,,,,,,,,,
,,---,,,,,,,,,,,,,,,,,,,,
,,22,~{BUSREQ},input,,,,,,,,,,,,,,,,,,
,,24,~{BUSACK},output,,,,,,,,,,,,,,,,,,
,,---,,,,,,,,,,,,,,,,,,,,
,,7,~{MI},input,line,,,,,,,,,,,,,,,,,
,,15,~{MO},output,,,,,,,,,,,,,,,,,,
,top,10,VCC,power_in,line,1,,,,,,,,,,,,,,,,
,bottom,31,GND,power_in,line,1,,,,,,,,,,,,,,,,
,,28,,no_connect,,,,yes,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Z8010,U,,"16-bit Memory Management Unit, DIP-48",https://archive.org/details/bitsavers_zilogz80000mmu_742400,Z8000 MMU segmented Z-bus,DIP*W15.24mm*,"Z8000
MMU",,,4,,1.5,,,,,,,,,,9
,left,"31,32,33,34,37,38,39,40",AD$(15-1),bidirectional,line,1.5,,,,,,,,,,,,,,,,
,,---,,,,,,,,,,,,,,,,,,,,
,,46,~{AS},input,line,,,,,,,,,,,,,,,,,
,,45,~{DS},,,,,,,,,,,,,,,,,,,
,,---,,,,,,,,,,,,,,,,,,,,
,,47,R/~{W},input,,,,,,,,,,,,,,,,,,
,,48,N/~{S},,,,,,,,,,,,,,,,,,,
,,"41,42,43,44",ST$(3-1),,,,,,,,,,,,,,,,,,,
,,---,,,,,,,,,,,,,,,,,,,,
,,1,~{CS},input,line,,,,,,,,,,,,,,,,,
,,2,DMASYNC,,,,,,,,,,,,,,,,,,,
,,5,~{RESET},,,,,,,,,,,,,,,,,,,
,,--- 2,,,,,,,,,,,,,,,,,,,,
,,36,CLK,input,clock,,,,,,,,,,,,,,,,,
,right,"6,7,8,9,10,12,13,14,15,16,17,18,19,20,21,22",A$(23-1),tri_state,line,,,,,,,,,,,,,,,,,
,,---,,,,,,,,,,,,,,,,,,,,
,,"24,25,26,27,28,29,30",SN$(6-1),input,line,,,,,,,,,,,,,,,,,
,,---,,,,,,,,,,,,,,,,,,,,
,,3,~{SEGT},open_collector,line,,,,,,,,,,,,,,,,,
,,4,~{SUP},open_collector,,,,,,,,,,,,,,,,,,
,top,11,VCC,power_in,line,1,,,,,,,,,,,,,,,,
,bottom,35,GND,power_in,line,1,,,,,,,,,,,,,,,,
,,23,,no_connect,,,,yes,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Z8016,U,,"Z8000 DMA Transfer Controller DTC, DIP-48",https://archive.org/details/bitsavers_zilogz80006dtc_1108678/mode/2up,Z8000 DTC DMA segmented Z-bus,DIP*W15.24mm*,"Z8000
DTC",,,4,,1.5,,,,,,,,,,8
,left,44,~{AS},bidirectional,line,1.5,,,,,,,,,,,,,,,,
,,43,~{DS},bidirectional,,,,,,,,,,,,,,,,,,
,,41,R/~{W},bidirectional,,,,,,,,,,,,,,,,,,
,,30,N/~{S},tri_state,,,,,,,,,,,,,,,,,,
,,35,B/~{W},,,,,,,,,,,,,,,,,,,
,,"34,33,32,31",ST$(3-1),bidirectional,,,,,,,,,,,,,,,,,,
,,42,~{CS}/~{WAIT},input,,,,,,,,,,,,,,,,,,
,,---,,,,,,,,,,,,,,,,,,,,
,,2,~{BUSREQ},bidirectional,line,,,,,,,,,,,,,,,,,
,,1,~{BAI},input,,,,,,,,,,,,,,,,,,
,,3,~{BAO},output,,,,,,,,,,,,,,,,,,
,,---,,,,,,,,,,,,,,,,,,,,
,,47,~{INT},open_collector,line,,,,,,,,,,,,,,,,,
,,46,IEI,input,line,,,,,,,,,,,,,,,,,
,,48,IEO,output,line,,,,,,,,,,,,,,,,,
,,---,,,,,,,,,,,,,,,,,,,,
,,37,~{DREQ2},input,line,,,,,,,,,,,,,,,,,
,,39,~{DACK2},output,,,,,,,,,,,,,,,,,,
,,36,~{DREQ1},input,,,,,,,,,,,,,,,,,,
,,40,~{DACK1},output,,,,,,,,,,,,,,,,,,
,,38,~{EOP},bidirectional,line,,,,,,,,,,,,,,,,,
,,---,,,,,,,,,,,,,,,,,,,,
,,45,CLK,input,clock,,,,,,,,,,,,,,,,,
,right,"20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5",AD$(15-1),bidirectional,line,,,,,,,,,,,,,,,,,
,,--- 2,,,,,,,,,,,,,,,,,,,,
,,27,SN7/MMUSync,tri_state,line,,,,,,,,,,,,,,,,,
,,"21,22,23,24,25,28,29",SN$(6-1),tri_state,line,,,,,,,,,,,,,,,,,
,top,4,VCC,power_in,line,1,,,,,,,,,,,,,,,,
,bottom,26,GND,power_in,line,1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Z8030,U,,"SCC Serial Communication Controller, DIP-40",https://pdf1.alldatasheet.com/datasheet-pdf/download/134545/ZILOG/Z08030.html,SCC serial communication Z-bus,DIP*W15.24mm*,SCC,,,4,,1.5,,,,,30,,,,,4.5
,left,"40,1,39,2,38,3,37,4",AD$,bidirectional,line,1.5,,,,,,,,,,,,,,,,
,,---,,,,,,,,,,,,,,,,,,,,
,left,35,~{AS},input,line,,,,,,,,,,,,,,,,,
,,36,~{DS},input,,,,,,,,,,,,,,,,,,
,,34,R/~{W},input,,,,,,,,,,,,,,,,,,
,,33,~{CS0},input,,,,,,,,,,,,,,,,,,
,,32,CS1,input,,,,,,,,,,,,,,,,,,
,,---,,,,,,,,,,,,,,,,,,,,
,,5,~{INT},open_collector,line,,,,,,,,,,,,,,,,,
,,7,IEI,input,line,,,,,,,,,,,,,,,,,
,,6,IEO,output,line,,,,,,,,,,,,,,,,,
,,8,~{INTACK},input,,,,,,,,,,,,,,,,,,
,,---,,,,,,,,,,,,,,,,,,,,
,,10,~{WAIT/RA},open_collector,line,,,,,,,,,,,,,,,,,
,,10,~{W/REQA},output,line,,,,,,,,,,,,,,,,,
